cantonese_140916_361014-04	我地唐人好兴话烧红个镬呀又跟住落油呀落姜
cantonese_140917_361288-16	半系因为预防要入院嘅一啲嘅医疗费用噉呀连同哩长
cantonese_140917_361288-18	医上嚟哩噉讲哩无论我地下大众市民又好益话哩系政府哩
cantonese_140917_361288-19	哩系未来嘅时候为左呢个国民嘅健康哩付出哩就要好多个罗
cantonese_140917_361288-21	联邦政府嘅建议呀噉佢仲话哩希望澳洲哩能够帮助到邻近
cantonese_140917_361288-24	啊嗱呢啲病症哩系威胁紧巴布亚新几内亚噉又威胁紧哩所
cantonese_140917_361288-25	罗门群岛东帝汶以至系印尼呀噉样嘅噉佢又话哩呢啲哩系对
cantonese_140917_361288-26	于佢地系一个沉重嘅负担噉而作为一个富意嘅富裕嘅国家哩
cantonese_140917_361288-28	系需要哩有啲嘅责任喇噉另外哩原驻民嘅医疗专家啊伊滋
cantonese_140917_361288-29	哩就认为呀一个持续嘅基金哩系好重要㗎噉佢又引述一份报告
cantonese_140917_361288-30	话哩原来原驻民嘅平均寿命哩比起其他澳洲人哩少左足足十年罢
cantonese_140917_361320-02	哩下嗰个柚子哩噉我地都系开左个柚子皮就丢㗎喇
cantonese_140917_361320-04	我知道哩你今天哩就会教大家哩用呢一个柚皮去做呢一个叫做柚皮
cantonese_140917_361320-06	遮沙田柚卖㗎噉变左嚟讲你唔够哩你呀可以买多个开左壳
cantonese_140917_361320-10	皮鞋噉但系哩因为我屋企系啱啱冇虾子噉我冇办法啦就冇用喇遮
cantonese_140917_361320-11	丢左个柚皮但系佢有啲好失望呀你一开碌柚嘅时间你唔系览你开完
cantonese_140917_361320-15	嗱呢个嘅碌柚啫系鸭掌煲哩四个人份量嘅啫噉我地哩就
cantonese_140917_361320-16	系度哩亦都买到哩已经处理好嘅鸭掌嘅急冻嘅因为佢系
cantonese_140917_361320-17	炸过晒㗎喇哈噉我地哩就买现成啦噉我要八只啦买番嚟将
cantonese_140917_361320-18	佢哩就用热水拖拖佢哩将佢一开二因哎我想佢靓啲呀下煮
cantonese_140917_361320-19	出嚟柚皮哩就要四件啦噉当然啦开完果碌柚嚟一浸皮一
cantonese_140917_361320-20	开四噉样我地当然啦就系用个刨哩轻轻哩就刨左佢果浸
cantonese_140917_361320-21	皮出便嗰个青色嗰个部分啦系系你唔可以大力刨啦大力刨穿晒喇
cantonese_140917_361320-22	喇冇晒肉喇下噉将佢哩遮一开四之后哩鹰间哩至去处理喇
cantonese_140917_361320-23	噉哩我地哩就需要哩就系呀好得意嘅煮柚皮哩一定要有哩啫
cantonese_140917_361320-24	俾啲鱼尤其是鲮鱼呀香味但系哩喺呢度好难买倒或者十
cantonese_140917_361320-25	唔致到哩系遮话急冻嘅鲮鱼急冻鲮鱼有几时哩佢又会带
cantonese_140917_361320-26	腥呀噉现在哩我可以同大家讲哩就又经济又可以遮
cantonese_140917_361320-27	嘅令到个柚皮靓㗎啦大家好几时哩都会去买啲肉劳呀银劳呀
cantonese_140917_361320-28	系噉呀下噉哩佢系好肥嘅师傅同我地汤嘅时间哩同佢讲你畀返嗰啲
cantonese_140917_361320-29	肠我噉你系咪要大条嗰啲先攞返啲鱼肠差唔多都接近八百
cantonese_140917_361366-01	一半呀发出八号东南烈风或暴风信号噉成为哩
cantonese_140917_361366-02	今年香港第一个八号风球㗎嗱八号风球哩挂左成
cantonese_140917_361366-03	晚第二日遮琴日上昼较后时间先至除下噉但系呢几日哩
cantonese_140917_361366-04	呀我地嘅天气仍然唔稳定继续有狂风大雨嘅嗱风暴吹
cantonese_140917_361366-05	袭期间香港海陆空交通亦都受到影响噉有超过
cantonese_140917_361366-06	五百班嘅航班取消或者延误天文台起离岛录得烈风前
cantonese_140917_361366-07	力度嘅阵风噉昂坪最高阵风呀超过每小时一百六十
cantonese_140917_361366-08	六公里㗎嗱广泛地区都出现狂风暴雨噉当局湿
cantonese_140917_361366-09	煲到多宗冧树同埋水浸嘅报告而香港多处岸边亦都
cantonese_140917_361366-10	出现海水渡灌其中喺鲤鱼门嘅三家村同埋马环村
cantonese_140917_361366-11	村海水就不断由岸边涌入村居民都一度要疏散嘅
cantonese_140917_361366-12	而台风海鸥远离香港之后就持续靠近
cantonese_140917_361366-13	华南沿岸地区噉中央气象台呀一早哩已经发布
cantonese_140917_361366-14	布台风橙色预警替醒居民做好防风措施广东
cantonese_140917_361366-15	东重大气象灾害应急办公室甚至系发出左一
cantonese_140917_361366-16	给气象灾害台风应急响应㗎哪睇番啦由於
cantonese_140917_361366-17	海鸥啦会正面吹袭广东西部气象台又是先将
cantonese_140917_361366-18	扬预料海鸥呀会系广东西部同海南之间地区登陆
cantonese_140917_361366-19	登陆时哩仲可能加强围强台风噉所以当地嘅居民
cantonese_140917_361366-20	哩都系大位紧张㗎因为海南海口市呀早两个月
cantonese_140917_361366-21	月之时系七月份嘅时候哩曾经受到超强台风威马
cantonese_140917_361366-22	嘅吹袭其他哩导致海口同埋文昌地区呀出现
cantonese_140917_361366-23	现停水停电嘅现象好多居民一度缺水缺粮缺电㗎
cantonese_140917_361366-24	㗎噉今次台风海鸥呀预料喺当地登陆唔少市民哩都嫌
cantonese_140917_361366-25	严阵以待做足准备海口嘅超级市场呀台风未到
cantonese_140917_361366-26	已经出现抢购潮喇唔少居民未雨绸缪呀涌入
cantonese_140917_361366-27	超级市场道抢购即食面饼干应急嘅灯啦蜡
cantonese_140917_361366-28	烛呀呢啲野噉做好应急嘅准备导致部分超级市场出现
cantonese_140917_361366-29	断货现象其中即食面嘅货架哩几乎都被抢购一空
cantonese_140917_361366-30	呀噉另外呀台湾方面亦都受到台风海鸥外围还
cantonese_140917_361368-01	变得好唔稳定横风横雨噉哩就其实哩系相当扫兴
cantonese_140917_361368-02	兴嘅本来哩有好多家庭哩组织话中秋节果晚常去尝
cantonese_140917_361368-03	月我相信哩全部都唔能够哩出门呀因为实在哩系好大风
cantonese_140917_361368-04	噉呀某部份嘅地区哩甚至无哩有短暂嘅停电呀噉
cantonese_140917_361368-05	我相信哩某啲嘅华人家庭哩真系要被迫喺屋企里便点灯笼
cantonese_140917_361368-07	哩就当地嘅中华会馆哩就其实喺早两日哩九月六号哩
cantonese_140917_361368-08	哩一早哩就举办一个大型嘅一年一度嘅中秋庆祝晚会噉
cantonese_140917_361368-09	喺佢地呢一个社区文化中心里便哩就举行噉当然哪有好多嘅文娱表
cantonese_140917_361368-10	表演哩亦都哩有嚟自唔同中文学校嘅学生哩系表
cantonese_140917_361368-11	边一啲哩遮中国文艺有关嘅节目噉呀据讲哩当晚哩大家
cantonese_140917_361368-12	都哩系呀好开心除左中华会馆举办节目之外哩
cantonese_140917_361368-13	其实近年华人喺遮西澳嘅数目哩系不断增加嘅
cantonese_140917_361368-14	根据中华会馆嘅网站哩最新讲哩就系话而家我
cantonese_140917_361368-15	我地喺西澳包括系珀斯里便嘅华人数字哩已经哩系
cantonese_140917_361368-16	有十四万噤多唔讲唔讲原来都有噤多人哩喺遮
cantonese_140917_361368-19	但系由於遮天气嘅关系哩结果全部取消甚至冇哩览
cantonese_140917_361368-20	览住出街食饭哩嗰个念头都打消左事后哩
cantonese_140917_361368-21	同一啲中式餐厅嘅老板倾开解呀噉佢地都觉得哩今
cantonese_140917_361368-22	今年中秋节嘅生意哩系比以往哩系差左噉呀唔系话冇人去
cantonese_140917_361368-23	食嘢但系少左翻枱嘅机会呀因为都系天气嘅唔稳定嘅关系哩
cantonese_140917_361368-26	西澳政府哩而家哩系好高度关注哩有关哩年青人
cantonese_140917_361368-27	自杀依一个问题最近一篇嘅报导显示哩有
cantonese_140917_361368-28	由年到到年呢段期间哩佢地研究
cantonese_140917_361368-29	究呀青少年人呀突然死亡嗰个数字同埋背后
cantonese_140917_361368-30	嘅原因噉发觉哩突然死亡嘅青少年哩有
cantonese_140918_361554-01	噉我地希望佢地接触到啲人嘅时候佢已经系知道用毒品系一
cantonese_140918_361554-02	件唔好嘅事佢唔应该用噉哩我地点样鼓励啲细路仔
cantonese_140918_361554-03	去面对呢个问题哩噉我览第一样嘢就系最基本嘅我地
cantonese_140918_361554-04	希望由绩到大嘅时候下父母同嘟仔女哩遮系下应建立唔到一个
cantonese_140918_361554-05	下好啲嘅关系可以有时常价沟通嘅譬如我地从小到大哩我地
cantonese_140918_361554-06	做父母嘅好开心快乐噉样狸到积极参与佢嘅生活喇譬如系学校
cantonese_140918_361554-07	呀佢有啲朋友呀佢有咩活动呀噉我地都系会好清楚噉又令到
cantonese_140918_361554-08	啲细路仔哩就好愿意同我地去交谈呀噉我地会好清
cantonese_140918_361554-09	楚佢地可能接触到一啲嘅乜嘢嘅朋友噉嘅时候哩如果察觉倒
cantonese_140918_361554-10	倒下佢地系接触倒啲朋友有呢个毒品或者啲成人
cantonese_140918_361554-11	有问题嘅时候哩噉我地哩就下比较同佢有个好嘅关系嘅时候我地就容易
cantonese_140918_361554-13	年青人会觉得哦毒品好闲遮下或者哩佢地会觉得毒品可以帮助佢
cantonese_140918_361554-14	佢地应付学校压力呀考试压力之女噉噤多方面嘅理由我地父母点样同
cantonese_140918_361554-16	啲呀青少年特别同佢沟通嘅时候哩因为呢个我觉特别只有青少年嘅
cantonese_140918_361554-17	通常小学哩都好少面对呢毒品嘅问题嘅呀系东常系青少年
cantonese_140918_361554-18	中学开始哩就面对呢问题嘅噉所以哩特别系呢个年
cantonese_140918_361554-19	纪嘅我地啲仔女哩噉我地要畀佢觉得哩我地系父母唔系做到
cantonese_140918_361554-20	高高在上我地有我地讲冇佢地讲噉哩我地要静心聆听佢地所讲
cantonese_140918_361554-21	譬如佢啲啲啲佢啲朋友去用毒品一定系哩通常用一啲毒品嘅时候都系真系
cantonese_140918_361554-22	呀有啲理由㗎譬如有啲人可能真系面对呀一啲嘅家庭问题呀
cantonese_140918_361554-23	或者呀唔开心呀噉嘅时候哩呀用毒品作为一个麻醉呀作为一个逃避
cantonese_140918_361554-24	噉嘅感觉呀噉嚟到去用呢个毒品个方法嚟到应付呢啲
cantonese_140918_361554-25	听下佢地意见嘅时候哩我地就可以听下佢地对呢个毒品呢个问题系唔系有正
cantonese_140918_361554-26	确嘅认识哩噉如果佢讲得啱嗰时候我地就话系喇佢好认同佢噉
cantonese_140918_361554-27	如果佢当中有啲唔系好啱嘅话哩噉你就要真系要帮佢
cantonese_140918_361554-28	去认识正确嗰啲资料喇譬如话系大麻佢令到个人下可以轻
cantonese_140918_361554-29	本嘅方法噉有冇啲好嘅方法更加好嘅方法嚟帮呢个朋友解
cantonese_140918_361554-30	决问题哩噉我地开始带我地啲仔女览深一层呀点样企
cantonese_140918_361606-01	误我相信你呢个讲法都系唔呀不无道理㗎因为哩我觉得对抗恐怖主
cantonese_140918_361606-02	主要活动嘅发生哩其实同我地今日哩大众论坛嘅题目哩都系遮系预出
cantonese_140918_361606-03	一次呀因为哩就系对应谢自然灾害一样哩要用最有效嘅方法
cantonese_140918_361606-05	活动哩其实新州同联邦警方哩噉较早之前就突击搜查左唔
cantonese_140918_361606-06	唔少哩位於雪梨嘅住宅呀噉呀仲有布理斯本添啦下噉亦都有
cantonese_140918_361606-07	人哩因此而被拘捕㗎噉今次哩都可算谓呀系目前为止规模
cantonese_140918_361606-08	最大一次打击恐怖主义嘅搜查喇唔嗱对於今次行动嘅更
cantonese_140918_361606-09	加详细资料哩我地唔系知道得好多嘅遮噉呀但系哩知道哩就系大
cantonese_140918_361606-10	约有六百个警员哩系带住呢个搜查令呀对雪梨西区哩同
cantonese_140918_361606-11	同北区十二个物业哩系进行左一连串嘅突击搜查个吧噉地
cantonese_140918_361606-12	区哩就包括啦啊啦啊啦
cantonese_140918_361606-16	哩遮今次嘅行动哩系联邦警方方面哩就表示呀响布理斯
cantonese_140918_361606-17	本哩其实亦有相关嘅突击检查㗎噉地点哩就包括哩系
cantonese_140918_361606-18	啦啦同埋等地㗎而佢地嘅一名发言人亦都表示哩应该
cantonese_140918_361606-19	会系今日嘅遮迟啲哩就会向大家提供更详尽嘅资料噉话喎唔
cantonese_140918_361606-20	嗱噉除左进行一个突击检查之外哩噉呀联邦政府嘅一个情
cantonese_140918_361606-21	情报机构呀哩噉主要系针对呢个洗黑钱同埋逃
cantonese_140918_361606-22	逃税等等嘅严重呀商业犯罪嘅活动㗎噉佢地方面哩
cantonese_140918_361606-23	亦都系暂停左一个哩涉嫌唔同呀恐怖分子有关联嘅汇款
cantonese_140918_361606-24	款公司呀就系呢个呀嘅一个呀业务
cantonese_140918_361606-25	喇噉亦都话哩系有可能哩系进一步哩取消嗰一间公司嗰个商业
cantonese_140918_361606-27	佢地其中一笔转帐去外国嘅汇款哩同佢地所报称嘅金
cantonese_140918_361606-28	金呀噉呀哩就查到哩有成九百几万嘅出入吧噉呀而哩
cantonese_140918_361606-29	都查到佢地有另外一笔令人起疑嘅支出呀噉就系哩有三
cantonese_140918_361606-30	万八千蚊哩畀左一个马来西亚人而向该公司哩就要肯星期五
cantonese_140924_362835-01	行国内近二十年泥最大型嘅竞争政策检讨工作根据佢地
cantonese_140924_362835-02	刚刚造完嘅草议佢希望废除零售业嘅作业时间限制而除
cantonese_140924_362835-03	药房及的士业界嘅规则废除平衡进口嘅限制以提高竞争据
cantonese_140924_362835-04	教授话其实自二十几年前所做嘅澳洲全国竞争检讨以
cantonese_140924_362835-05	来澳洲喺好多方面都取得良好嘅进展不过呢一段时间亚洲嘅
cantonese_140924_362835-06	崛起与及电子时代嘅降临令到游戏规则起左变化嗰啲未能够
cantonese_140924_362835-07	与时并进嘅反竞争政策应该被废除教授呢一个报告列举出
cantonese_140924_362835-08	五十二个建议佢又希望喺目前澳洲竞争及消费者专署遮
cantonese_140924_362835-09	之外另外设立一个叫做澳洲竞争政策议会嘅机关
cantonese_140924_362835-10	嚟到互相配合澳洲小生意部长欢迎呢一份草议但系就
cantonese_140924_362835-11	指出要进行大众咨询嗱睇番呢一份报告其中一项系要对消费法
cantonese_140924_362835-12	律进行修订令到大企业唔能够以市场嘅支配力泥到迫使小
cantonese_140924_362835-13	企业退出市场澳洲大企业嘅著名例子包括有四大银行同埋澳
cantonese_140924_362835-14	洲两大超市集团以超市为例检讨小组认为大型超市连锁店
cantonese_140924_362835-15	试图直接或者间接限制供应商供货俾小型嘅连锁店但系
cantonese_140924_362835-16	如果建议中嘅法例修订落实嘅话呢个现象可能随时会变成历史原因
cantonese_140924_362835-17	因系根据现行嘅法例要证明一间公司滥用佢
cantonese_140924_362835-18	地嘅市场支配力佢地就必须证明该公司蓄意降低竞争但系喺
cantonese_140924_362835-19	建议嘅法例之下唔需要证明该公司系蓄意噉样做只要
cantonese_140924_362835-20	证明佢地嘅行动导致左竞争下降就经已可以㗎嗱代表
cantonese_140924_362835-21	同埋两间超市集团嘅澳洲全国零售业协会佢地嘅执行
cantonese_140924_362835-22	认为澳洲嘅零售业界正面对前所未有
cantonese_140924_362835-24	商品嘅价格尤其系食品嘅价格从来未试过噤低㗎因此根
cantonese_140924_362835-25	本就冇证据话竞争一路减少亦都冇证据指小型竞争者
cantonese_140924_362835-26	因而失利其实而家做生意嘅成本上升大部分系政府一手促成
cantonese_140924_362835-27	㗎又话一旦呢个建议落实大型企业例如系大型零售商
cantonese_140924_362835-28	银行或者矿务公司喺做商业决定嘅时候将会被绑手绑脚因为佢
cantonese_140924_362835-29	佢地恐怕一时不慎就会被当局检控佢又话呢个实际上系一个保护主
cantonese_140924_362835-30	意大企业将冇增长嘅空间噉至於报告中另一个惹争论嘅地方系废
cantonese_140925_362959-01	唔同嘅反应㗎吧噉不过哩话分两头噢恐怖主义嘅威胁哩系好真实嘅
cantonese_140925_362959-02	因为草案哩仲系响有待相关嘅委员会决定之际啦世界另一端
cantonese_140925_362959-04	上网嘅一段短片哩就显示呀一个叫高德尔嘅法国男子哩就喺
cantonese_140925_362959-05	阿尔及利亚嗰道哩就系被公开斩首处决㗎而法国总统奥朗德
cantonese_140925_362959-06	德哩亦都证实左行刑嘅人哩系同伊斯兰国武装组织哩系有关个吧
cantonese_140925_362959-07	香片段入便就见到呢个五十五岁嘅法国男子跪响地上面双手被绑
cantonese_140925_362959-08	绑背后噉当时亦都有四名蒙面㗎武装份子哩企响佢身边噉之后哩
cantonese_140925_362959-09	噉武装份子就将佢按落地喇噉呀据资料显示哩佢系一名游客嚟㗎
cantonese_140925_362959-10	出事之前啦佢系响阿尔及利亚一个国家公园里便行紧山噉但系
cantonese_140925_362959-12	再嘅噉其实都有迹可寻㗎噉因为哩片段入面呀武装份子就读出声
cantonese_140925_362959-13	明呀就话哩啊法国哩系参与呢个空袭伊拉克嘅行动呀噉啊
cantonese_140925_362959-14	遮对付呢个伊斯兰国嘅组织噉并且哩事件亦都就啊发生喺呢个啊
cantonese_140925_362959-15	伊斯兰国组织哩要求法国停火添不过哩遭到拒绝之后呀噉所以哩就急
cantonese_140925_362959-17	为残忍噉法国政府坚持系唔会退缩㗎会继续哩打击伊斯兰国
cantonese_140925_362959-18	组织噉除左法国政府对武装份子嘅表现强硬之外哩身处美国嘅澳
cantonese_140925_362959-19	洲总理艾保德嘅态度哩同样强硬噃噉佢仲话哩澳洲就算受到
cantonese_140925_362959-21	因为哩澳洲本土哩面对住呢个极端主义嘅威胁哩亦都系升温之际呀噉
cantonese_140925_362959-22	地之前都报导过哩一个嘅十八岁嘅墨尔本青年呀因为哩就系刺伤左
cantonese_140925_362959-23	两名反恐嘅警员之后哩就最终被击毙㗎噉不过哩寻日事件真系发生得太
cantonese_140925_362959-24	突然呀噉所以哩我地今日哩有更加多嘅资料系公开㗎噉就系哩呢个被枪杀嘅
cantonese_140925_362959-25	男子哩叫做海德尔呀关於佢嘅身世哩亦都系有消息就系呀证实哩
cantonese_140925_362959-26	佢喺呢个阿富汗出世嘅喎喺好细个嘅时候哩已经狸到澳洲生活
cantonese_140925_362959-27	延之后哩一直就系住喺呢个墨尔本嘅东南部嗰道生活㗎噃噉而佢身边
cantonese_140925_362959-29	佢社交生活亦都极正常会同朋友一齐露营游水噉间唔中哩亦都会搞
cantonese_140925_362959-30	啊烧烤聚会噉啦噉佢嘅其中一名朋友哩因为唔想真实姓名被公开
cantonese_140925_363090-01	长期受膝伤恶困扰宣佈哩系挂拍退役成为左呢
cantonese_140925_363090-02	星期哩嘅全国业话㗎睇番啦现年三十二岁嘅李娜
